id	descendant
0001574	0001062
0001574	0001067
0001574	0001069
0001574	0001070
0001574	0001071
0001574	0001073
0001574	0001074
0001574	0001106
0001574	0001128
0001574	0001232
0001574	0001574
0001574	0001809
0001574	0001814
0001574	0001818
0001574	0001821
0001574	0002165
0001574	0002218
0001574	0002219
0001574	0002220
0001574	0002229
0001574	0002232
0001579	0001579
0001580	0001580
0001583	0001583
0001586	0001586
0001593	0001593
0001637	0001637
0001637	0001670
0001637	0001685
0001637	0001700
0001670	0001670
0001683	0001683
0001685	0001685
0001686	0001686
0001691	0001691
0001692	0001692
0001693	0001693
0001693	0001694
0001694	0001694
0001697	0001697
0001700	0001700
0001705	0001705
0001709	0001709
0001710	0001710
0001711	0001691
0001711	0001711
0001713	0001691
0001713	0001711
0001713	0001713
0001713	0001750
0001717	0001717
0001722	0001722
0001727	0001727
0001735	0001735
0001741	0001741
0001742	0001742
0001747	0001747
0001750	0001750
0001756	0001756
0001757	0001757
0001775	0001775
0001780	0001459
0001780	0001780
0001780	0001782
0001780	0001842
0001780	0001844
0001780	0001857
0001780	0001859
0001780	0001870
0001780	0001885
0001780	0001991
0001782	0001782
0001783	0001783
0001785	0001785
0001786	0001786
0001787	0001787
0001787	0001788
0001788	0001788
0001791	0001791
0001809	0001809
0001814	0001814
0001818	0001818
0001821	0001821
0001832	0001440
0001832	0001449
0001832	0001473
0001832	0001783
0001832	0001832
0001832	0001964
0001842	0001842
0001842	0001870
0001844	0001844
0001850	0001775
0001850	0001850
0001853	0001853
0001854	0001854
0001857	0001857
0001859	0001859
0001868	0001868
0001870	0001870
0001872	0001872
0001872	0001905
0001872	0001975
0001877	0001877
0001877	0001898
0001877	0001899
0001877	0001900
0001877	0001908
0001877	0001930
0001877	0001981
0001879	0001879
0001881	0001879
0001881	0001881
0001881	0001911
0001881	0001912
0001881	0001913
0001881	0001982
0001885	0001885
0001886	0001886
0001898	0001898
0001899	0001899
0001900	0001900
0001905	0001905
0001908	0001908
0001911	0001879
0001911	0001911
0001911	0001912
0001911	0001913
0001912	0001912
0001913	0001913
0001917	0001917
0001920	0001920
0001929	0001929
0001930	0001930
0001948	0001948
0001948	0001949
0001948	0001950
0001948	0001960
0001949	0001949
0001949	0001960
0001950	0001950
0001951	0001951
0001953	0001953
0001955	0001955
0001958	0001958
0001960	0001960
0001961	0001961
0001963	0001963
0001964	0001964
0001965	0000599
0001965	0001043
0001965	0001965
0001966	0001966
0001969	0001969
0001975	0001975
0001977	0001727
0001977	0001977
0001978	0001978
0001980	0001980
0001981	0001981
0001982	0001982
0001983	0001983
0001986	0001986
0001991	0001857
0001991	0001885
0001991	0001991
0001995	0001995
0001996	0001996
0002009	0002009
0002010	0002010
0002011	0000839
0002011	0000933
0002011	0001341
0002011	0001343
0002011	0002011
0002011	0002060
0002011	0002074
0002011	0002143
0002011	0002190
0002011	0002195
0002011	0002196
0002012	0001401
0002012	0001403
0002012	0001404
0002012	0001405
0002012	0001412
0002012	0001735
0002012	0001747
0002012	0002012
0002031	0002031
0002034	0002034
0002038	0002038
0002041	0002041
0002048	0002048
0002049	0002049
0002050	0002050
0002054	0002054
0002055	0002055
0002056	0002056
0002060	0000933
0002060	0002060
0002068	0002068
0002074	0002074
0002083	0002083
0002087	0002087
0002088	0002088
0002088	0002108
0002088	0002207
0002108	0002108
0002143	0002143
0002143	0002196
0002152	0002152
0002154	0002154
0002156	0002156
0002157	0002157
0002159	0002159
0002160	0002160
0002161	0002161
0002165	0002165
0002189	0002189
0002190	0002190
0002193	0002193
0002195	0002195
0002196	0002196
0002200	0002193
0002200	0002200
0002203	0002203
0002207	0002207
0002218	0002218
0002219	0002219
0002220	0002220
0002229	0002229
0002232	0002232
